Feature,Bucket,N (Claims),Denials,Denial Rate
days_g30,1.0,343,99,0.2886297376093295
days_g30,0.0,1779,349,0.19617762788083193
eligibility_not_verified_flag,1.0,269,95,0.35315985130111527
eligibility_not_verified_flag,0.0,1853,353,0.19050188882892607
has_prior_auth,0.0,1282,284,0.22152886115444617
has_prior_auth,1.0,840,164,0.19523809523809524
missing_documentation_flag,1.0,390,156,0.4
missing_documentation_flag,0.0,1732,292,0.16859122401847576
out_of_network_flag,1.0,389,100,0.2570694087403599
out_of_network_flag,0.0,1733,348,0.20080784766301213
payer_id,P008,153,52,0.33986928104575165
payer_id,P012,169,49,0.28994082840236685
payer_id,P007,177,50,0.2824858757062147
payer_id,P006,187,47,0.25133689839572193
payer_id,P010,138,33,0.2391304347826087
payer_id,P005,198,44,0.2222222222222222
payer_id,P009,182,39,0.21428571428571427
payer_id,P003,171,34,0.19883040935672514
payer_id,P002,171,29,0.1695906432748538
payer_id,P004,135,20,0.14814814814814814
payer_id,P011,229,29,0.12663755458515283
payer_id,P001,212,22,0.10377358490566038
payment_gap,"(8874.402, 67564.79]",425,119,0.28
payment_gap,"(5105.028, 8874.402]",424,99,0.23349056603773585
payment_gap,"(3198.426, 5105.028]",424,90,0.21226415094339623
payment_gap,"(1886.12, 3198.426]",424,86,0.2028301886792453
payment_gap,"(211.809, 1886.12]",425,54,0.12705882352941175
prior_auth_required,1.0,811,207,0.25524044389642414
prior_auth_required,0.0,1311,241,0.18382913806254766
referral_required,1.0,605,137,0.22644628099173553
referral_required,0.0,1517,311,0.2050098879367172
referral_required_but_not_present,1.0,177,58,0.327683615819209
referral_required_but_not_present,0.0,1945,390,0.20051413881748073
unauthorized_proc_flag,1.0,205,92,0.44878048780487806
unauthorized_proc_flag,0.0,1917,356,0.18570683359415754
